species,sample_1,sample_2
Bacteroides_finegoldii_57739,SRR18584973,SRR18585187
Bacteroides_finegoldii_57739,SRR18584973,SRR18585198
Bacteroides_finegoldii_57739,SRR18584992,SRR18585027
Bacteroides_finegoldii_57739,SRR18584992,SRR18585041
Bacteroides_finegoldii_57739,SRR18584992,SRR18585084
Bacteroides_finegoldii_57739,SRR18584992,SRR18585085
Bacteroides_finegoldii_57739,SRR18584992,SRR18585086
Bacteroides_finegoldii_57739,SRR18584992,SRR18585088
Bacteroides_finegoldii_57739,SRR18584992,SRR18585089
Bacteroides_finegoldii_57739,SRR18584992,SRR18585090
Bacteroides_finegoldii_57739,SRR18584992,SRR18585095
Bacteroides_finegoldii_57739,SRR18584992,SRR18585099
Bacteroides_finegoldii_57739,SRR18584992,SRR18585119
Bacteroides_finegoldii_57739,SRR18584992,SRR18585176
Bacteroides_finegoldii_57739,SRR18584992,SRR18585187
Bacteroides_finegoldii_57739,SRR18584992,SRR18585198
Bacteroides_finegoldii_57739,SRR18585027,SRR18585041
Bacteroides_finegoldii_57739,SRR18585027,SRR18585084
Bacteroides_finegoldii_57739,SRR18585027,SRR18585085
Bacteroides_finegoldii_57739,SRR18585027,SRR18585086
Bacteroides_finegoldii_57739,SRR18585027,SRR18585088
Bacteroides_finegoldii_57739,SRR18585027,SRR18585089
Bacteroides_finegoldii_57739,SRR18585027,SRR18585090
Bacteroides_finegoldii_57739,SRR18585027,SRR18585095
Bacteroides_finegoldii_57739,SRR18585027,SRR18585099
Bacteroides_finegoldii_57739,SRR18585027,SRR18585119
Bacteroides_finegoldii_57739,SRR18585027,SRR18585176
Bacteroides_finegoldii_57739,SRR18585027,SRR18585187
Bacteroides_finegoldii_57739,SRR18585027,SRR18585198
Bacteroides_finegoldii_57739,SRR18585041,SRR18585084
Bacteroides_finegoldii_57739,SRR18585041,SRR18585085
Bacteroides_finegoldii_57739,SRR18585041,SRR18585086
Bacteroides_finegoldii_57739,SRR18585041,SRR18585088
Bacteroides_finegoldii_57739,SRR18585041,SRR18585089
Bacteroides_finegoldii_57739,SRR18585041,SRR18585090
Bacteroides_finegoldii_57739,SRR18585041,SRR18585095
Bacteroides_finegoldii_57739,SRR18585041,SRR18585099
Bacteroides_finegoldii_57739,SRR18585041,SRR18585119
Bacteroides_finegoldii_57739,SRR18585041,SRR18585176
Bacteroides_finegoldii_57739,SRR18585041,SRR18585187
Bacteroides_finegoldii_57739,SRR18585041,SRR18585198
Bacteroides_finegoldii_57739,SRR18585084,SRR18585085
Bacteroides_finegoldii_57739,SRR18585084,SRR18585086
Bacteroides_finegoldii_57739,SRR18585084,SRR18585088
Bacteroides_finegoldii_57739,SRR18585084,SRR18585089
Bacteroides_finegoldii_57739,SRR18585084,SRR18585090
Bacteroides_finegoldii_57739,SRR18585084,SRR18585095
Bacteroides_finegoldii_57739,SRR18585084,SRR18585099
Bacteroides_finegoldii_57739,SRR18585084,SRR18585119
Bacteroides_finegoldii_57739,SRR18585084,SRR18585176
Bacteroides_finegoldii_57739,SRR18585084,SRR18585187
Bacteroides_finegoldii_57739,SRR18585084,SRR18585198
Bacteroides_finegoldii_57739,SRR18585085,SRR18585086
Bacteroides_finegoldii_57739,SRR18585085,SRR18585088
Bacteroides_finegoldii_57739,SRR18585085,SRR18585089
Bacteroides_finegoldii_57739,SRR18585085,SRR18585090
Bacteroides_finegoldii_57739,SRR18585085,SRR18585095
Bacteroides_finegoldii_57739,SRR18585085,SRR18585099
Bacteroides_finegoldii_57739,SRR18585085,SRR18585119
Bacteroides_finegoldii_57739,SRR18585085,SRR18585176
Bacteroides_finegoldii_57739,SRR18585085,SRR18585187
Bacteroides_finegoldii_57739,SRR18585085,SRR18585198
Bacteroides_finegoldii_57739,SRR18585086,SRR18585088
Bacteroides_finegoldii_57739,SRR18585086,SRR18585089
Bacteroides_finegoldii_57739,SRR18585086,SRR18585090
Bacteroides_finegoldii_57739,SRR18585086,SRR18585095
Bacteroides_finegoldii_57739,SRR18585086,SRR18585099
Bacteroides_finegoldii_57739,SRR18585086,SRR18585119
Bacteroides_finegoldii_57739,SRR18585086,SRR18585176
Bacteroides_finegoldii_57739,SRR18585086,SRR18585187
Bacteroides_finegoldii_57739,SRR18585086,SRR18585198
Bacteroides_finegoldii_57739,SRR18585088,SRR18585089
Bacteroides_finegoldii_57739,SRR18585088,SRR18585090
Bacteroides_finegoldii_57739,SRR18585088,SRR18585095
Bacteroides_finegoldii_57739,SRR18585088,SRR18585099
Bacteroides_finegoldii_57739,SRR18585088,SRR18585119
Bacteroides_finegoldii_57739,SRR18585088,SRR18585176
Bacteroides_finegoldii_57739,SRR18585088,SRR18585187
Bacteroides_finegoldii_57739,SRR18585088,SRR18585198
Bacteroides_finegoldii_57739,SRR18585089,SRR18585090
Bacteroides_finegoldii_57739,SRR18585089,SRR18585095
Bacteroides_finegoldii_57739,SRR18585089,SRR18585099
Bacteroides_finegoldii_57739,SRR18585089,SRR18585119
Bacteroides_finegoldii_57739,SRR18585089,SRR18585176
Bacteroides_finegoldii_57739,SRR18585089,SRR18585187
Bacteroides_finegoldii_57739,SRR18585089,SRR18585198
Bacteroides_finegoldii_57739,SRR18585090,SRR18585095
Bacteroides_finegoldii_57739,SRR18585090,SRR18585099
Bacteroides_finegoldii_57739,SRR18585090,SRR18585119
Bacteroides_finegoldii_57739,SRR18585090,SRR18585176
Bacteroides_finegoldii_57739,SRR18585090,SRR18585187
Bacteroides_finegoldii_57739,SRR18585090,SRR18585198
Bacteroides_finegoldii_57739,SRR18585095,SRR18585099
Bacteroides_finegoldii_57739,SRR18585095,SRR18585119
Bacteroides_finegoldii_57739,SRR18585095,SRR18585176
Bacteroides_finegoldii_57739,SRR18585095,SRR18585187
Bacteroides_finegoldii_57739,SRR18585095,SRR18585198
Bacteroides_finegoldii_57739,SRR18585099,SRR18585119
Bacteroides_finegoldii_57739,SRR18585099,SRR18585176
Bacteroides_finegoldii_57739,SRR18585099,SRR18585187
Bacteroides_finegoldii_57739,SRR18585099,SRR18585198
Bacteroides_finegoldii_57739,SRR18585119,SRR18585176
Bacteroides_finegoldii_57739,SRR18585119,SRR18585187
Bacteroides_finegoldii_57739,SRR18585119,SRR18585198
Bacteroides_finegoldii_57739,SRR18585176,SRR18585187
Bacteroides_finegoldii_57739,SRR18585176,SRR18585198
Bacteroides_finegoldii_57739,SRR18585187,SRR18585198
Bacteroides_massiliensis_44749,SRR18585014,SRR18585015
Bacteroides_massiliensis_44749,SRR18585014,SRR18585017
Bacteroides_massiliensis_44749,SRR18585014,SRR18585018
Bacteroides_massiliensis_44749,SRR18585014,SRR18585019
Bacteroides_massiliensis_44749,SRR18585014,SRR18585020
Bacteroides_massiliensis_44749,SRR18585014,SRR18585021
Bacteroides_massiliensis_44749,SRR18585014,SRR18585023
Bacteroides_massiliensis_44749,SRR18585014,SRR18585022
Bacteroides_massiliensis_44749,SRR18585014,SRR18585024
Bacteroides_massiliensis_44749,SRR18585014,SRR18585025
Bacteroides_massiliensis_44749,SRR18585014,SRR18585026
Bacteroides_massiliensis_44749,SRR18585014,SRR18585028
Bacteroides_massiliensis_44749,SRR18585015,SRR18585017
Bacteroides_massiliensis_44749,SRR18585015,SRR18585018
Bacteroides_massiliensis_44749,SRR18585015,SRR18585019
Bacteroides_massiliensis_44749,SRR18585015,SRR18585020
Bacteroides_massiliensis_44749,SRR18585015,SRR18585021
Bacteroides_massiliensis_44749,SRR18585015,SRR18585023
Bacteroides_massiliensis_44749,SRR18585015,SRR18585022
Bacteroides_massiliensis_44749,SRR18585015,SRR18585024
Bacteroides_massiliensis_44749,SRR18585015,SRR18585025
Bacteroides_massiliensis_44749,SRR18585015,SRR18585026
Bacteroides_massiliensis_44749,SRR18585015,SRR18585028
Bacteroides_massiliensis_44749,SRR18585017,SRR18585018
Bacteroides_massiliensis_44749,SRR18585017,SRR18585019
Bacteroides_massiliensis_44749,SRR18585017,SRR18585020
Bacteroides_massiliensis_44749,SRR18585017,SRR18585021
Bacteroides_massiliensis_44749,SRR18585017,SRR18585023
Bacteroides_massiliensis_44749,SRR18585017,SRR18585022
Bacteroides_massiliensis_44749,SRR18585017,SRR18585024
Bacteroides_massiliensis_44749,SRR18585017,SRR18585025
Bacteroides_massiliensis_44749,SRR18585017,SRR18585026
Bacteroides_massiliensis_44749,SRR18585017,SRR18585028
Bacteroides_massiliensis_44749,SRR18585018,SRR18585019
Bacteroides_massiliensis_44749,SRR18585018,SRR18585020
Bacteroides_massiliensis_44749,SRR18585018,SRR18585021
Bacteroides_massiliensis_44749,SRR18585018,SRR18585023
Bacteroides_massiliensis_44749,SRR18585018,SRR18585022
Bacteroides_massiliensis_44749,SRR18585018,SRR18585024
Bacteroides_massiliensis_44749,SRR18585018,SRR18585025
Bacteroides_massiliensis_44749,SRR18585018,SRR18585026
Bacteroides_massiliensis_44749,SRR18585018,SRR18585028
Bacteroides_massiliensis_44749,SRR18585019,SRR18585020
Bacteroides_massiliensis_44749,SRR18585019,SRR18585021
Bacteroides_massiliensis_44749,SRR18585019,SRR18585023
Bacteroides_massiliensis_44749,SRR18585019,SRR18585022
Bacteroides_massiliensis_44749,SRR18585019,SRR18585024
Bacteroides_massiliensis_44749,SRR18585019,SRR18585025
Bacteroides_massiliensis_44749,SRR18585019,SRR18585026
Bacteroides_massiliensis_44749,SRR18585019,SRR18585028
Bacteroides_massiliensis_44749,SRR18585020,SRR18585021
Bacteroides_massiliensis_44749,SRR18585020,SRR18585023
Bacteroides_massiliensis_44749,SRR18585020,SRR18585022
Bacteroides_massiliensis_44749,SRR18585020,SRR18585024
Bacteroides_massiliensis_44749,SRR18585020,SRR18585025
Bacteroides_massiliensis_44749,SRR18585020,SRR18585026
Bacteroides_massiliensis_44749,SRR18585020,SRR18585028
Bacteroides_massiliensis_44749,SRR18585021,SRR18585023
Bacteroides_massiliensis_44749,SRR18585021,SRR18585022
Bacteroides_massiliensis_44749,SRR18585021,SRR18585024
Bacteroides_massiliensis_44749,SRR18585021,SRR18585025
Bacteroides_massiliensis_44749,SRR18585021,SRR18585026
Bacteroides_massiliensis_44749,SRR18585021,SRR18585028
Bacteroides_massiliensis_44749,SRR18585023,SRR18585022
Bacteroides_massiliensis_44749,SRR18585023,SRR18585024
Bacteroides_massiliensis_44749,SRR18585023,SRR18585025
Bacteroides_massiliensis_44749,SRR18585023,SRR18585026
Bacteroides_massiliensis_44749,SRR18585023,SRR18585028
Bacteroides_massiliensis_44749,SRR18585022,SRR18585024
Bacteroides_massiliensis_44749,SRR18585022,SRR18585025
Bacteroides_massiliensis_44749,SRR18585022,SRR18585026
Bacteroides_massiliensis_44749,SRR18585022,SRR18585028
Bacteroides_massiliensis_44749,SRR18585024,SRR18585025
Bacteroides_massiliensis_44749,SRR18585024,SRR18585026
Bacteroides_massiliensis_44749,SRR18585024,SRR18585028
Bacteroides_massiliensis_44749,SRR18585025,SRR18585026
Bacteroides_massiliensis_44749,SRR18585025,SRR18585028
Bacteroides_massiliensis_44749,SRR18585026,SRR18585028
Bacteroides_massiliensis_44749,SRR18585172,SRR18585174
Bacteroides_pectinophilus_61619,SRR18584997,SRR18584998
Bacteroides_pectinophilus_61619,SRR18584997,SRR18584999
Bacteroides_pectinophilus_61619,SRR18584997,SRR18585001
Bacteroides_pectinophilus_61619,SRR18584998,SRR18584999
Bacteroides_pectinophilus_61619,SRR18584998,SRR18585001
Bacteroides_pectinophilus_61619,SRR18584999,SRR18585001
Bacteroides_plebeius_61623,SRR18584976,SRR18584975
Bacteroides_plebeius_61623,SRR18585116,SRR18585117
Bacteroides_plebeius_61623,SRR18585116,SRR18585120
Bacteroides_plebeius_61623,SRR18585116,SRR18585123
Bacteroides_plebeius_61623,SRR18585117,SRR18585120
Bacteroides_plebeius_61623,SRR18585117,SRR18585123
Bacteroides_plebeius_61623,SRR18585120,SRR18585123
Bacteroides_stercoris_56735,SRR18584973,SRR18584992
Bacteroides_stercoris_56735,SRR18584973,SRR18585027
Bacteroides_stercoris_56735,SRR18584973,SRR18585088
Bacteroides_stercoris_56735,SRR18584973,SRR18585089
Bacteroides_stercoris_56735,SRR18584973,SRR18585090
Bacteroides_stercoris_56735,SRR18584973,SRR18585094
Bacteroides_stercoris_56735,SRR18584973,SRR18585095
Bacteroides_stercoris_56735,SRR18584973,SRR18585099
Bacteroides_stercoris_56735,SRR18584973,SRR18585176
Bacteroides_stercoris_56735,SRR18584973,SRR18585187
Bacteroides_stercoris_56735,SRR18584973,SRR18585264
Bacteroides_stercoris_56735,SRR18584992,SRR18585027
Bacteroides_stercoris_56735,SRR18584992,SRR18585088
Bacteroides_stercoris_56735,SRR18584992,SRR18585089
Bacteroides_stercoris_56735,SRR18584992,SRR18585090
Bacteroides_stercoris_56735,SRR18584992,SRR18585094
Bacteroides_stercoris_56735,SRR18584992,SRR18585095
Bacteroides_stercoris_56735,SRR18584992,SRR18585099
Bacteroides_stercoris_56735,SRR18584992,SRR18585176
Bacteroides_stercoris_56735,SRR18584992,SRR18585187
Bacteroides_stercoris_56735,SRR18584992,SRR18585264
Bacteroides_stercoris_56735,SRR18585027,SRR18585088
Bacteroides_stercoris_56735,SRR18585027,SRR18585089
Bacteroides_stercoris_56735,SRR18585027,SRR18585090
Bacteroides_stercoris_56735,SRR18585027,SRR18585094
Bacteroides_stercoris_56735,SRR18585027,SRR18585095
Bacteroides_stercoris_56735,SRR18585027,SRR18585099
Bacteroides_stercoris_56735,SRR18585027,SRR18585176
Bacteroides_stercoris_56735,SRR18585027,SRR18585187
Bacteroides_stercoris_56735,SRR18585027,SRR18585264
Bacteroides_stercoris_56735,SRR18585034,SRR18585043
Bacteroides_stercoris_56735,SRR18585034,SRR18585185
Bacteroides_stercoris_56735,SRR18585034,SRR18585186
Bacteroides_stercoris_56735,SRR18585034,SRR18585188
Bacteroides_stercoris_56735,SRR18585034,SRR18585190
Bacteroides_stercoris_56735,SRR18585034,SRR18585193
Bacteroides_stercoris_56735,SRR18585034,SRR18585194
Bacteroides_stercoris_56735,SRR18585034,SRR18585196
Bacteroides_stercoris_56735,SRR18585043,SRR18585185
Bacteroides_stercoris_56735,SRR18585043,SRR18585186
Bacteroides_stercoris_56735,SRR18585043,SRR18585188
Bacteroides_stercoris_56735,SRR18585043,SRR18585190
Bacteroides_stercoris_56735,SRR18585043,SRR18585193
Bacteroides_stercoris_56735,SRR18585043,SRR18585194
Bacteroides_stercoris_56735,SRR18585043,SRR18585196
Bacteroides_stercoris_56735,SRR18585088,SRR18585089
Bacteroides_stercoris_56735,SRR18585088,SRR18585090
Bacteroides_stercoris_56735,SRR18585088,SRR18585094
Bacteroides_stercoris_56735,SRR18585088,SRR18585095
Bacteroides_stercoris_56735,SRR18585088,SRR18585099
Bacteroides_stercoris_56735,SRR18585088,SRR18585176
Bacteroides_stercoris_56735,SRR18585088,SRR18585187
Bacteroides_stercoris_56735,SRR18585088,SRR18585264
Bacteroides_stercoris_56735,SRR18585089,SRR18585090
Bacteroides_stercoris_56735,SRR18585089,SRR18585094
Bacteroides_stercoris_56735,SRR18585089,SRR18585095
Bacteroides_stercoris_56735,SRR18585089,SRR18585099
Bacteroides_stercoris_56735,SRR18585089,SRR18585176
Bacteroides_stercoris_56735,SRR18585089,SRR18585187
Bacteroides_stercoris_56735,SRR18585089,SRR18585264
Bacteroides_stercoris_56735,SRR18585090,SRR18585094
Bacteroides_stercoris_56735,SRR18585090,SRR18585095
Bacteroides_stercoris_56735,SRR18585090,SRR18585099
Bacteroides_stercoris_56735,SRR18585090,SRR18585176
Bacteroides_stercoris_56735,SRR18585090,SRR18585187
Bacteroides_stercoris_56735,SRR18585090,SRR18585264
Bacteroides_stercoris_56735,SRR18585094,SRR18585095
Bacteroides_stercoris_56735,SRR18585094,SRR18585099
Bacteroides_stercoris_56735,SRR18585094,SRR18585176
Bacteroides_stercoris_56735,SRR18585094,SRR18585187
Bacteroides_stercoris_56735,SRR18585094,SRR18585264
Bacteroides_stercoris_56735,SRR18585095,SRR18585099
Bacteroides_stercoris_56735,SRR18585095,SRR18585176
Bacteroides_stercoris_56735,SRR18585095,SRR18585187
Bacteroides_stercoris_56735,SRR18585095,SRR18585264
Bacteroides_stercoris_56735,SRR18585099,SRR18585176
Bacteroides_stercoris_56735,SRR18585099,SRR18585187
Bacteroides_stercoris_56735,SRR18585099,SRR18585264
Bacteroides_stercoris_56735,SRR18585176,SRR18585187
Bacteroides_stercoris_56735,SRR18585176,SRR18585264
Bacteroides_stercoris_56735,SRR18585185,SRR18585186
Bacteroides_stercoris_56735,SRR18585185,SRR18585188
Bacteroides_stercoris_56735,SRR18585185,SRR18585190
Bacteroides_stercoris_56735,SRR18585185,SRR18585193
Bacteroides_stercoris_56735,SRR18585185,SRR18585194
Bacteroides_stercoris_56735,SRR18585185,SRR18585196
Bacteroides_stercoris_56735,SRR18585186,SRR18585188
Bacteroides_stercoris_56735,SRR18585186,SRR18585190
Bacteroides_stercoris_56735,SRR18585186,SRR18585193
Bacteroides_stercoris_56735,SRR18585186,SRR18585194
Bacteroides_stercoris_56735,SRR18585186,SRR18585196
Bacteroides_stercoris_56735,SRR18585187,SRR18585264
Bacteroides_stercoris_56735,SRR18585188,SRR18585190
Bacteroides_stercoris_56735,SRR18585188,SRR18585193
Bacteroides_stercoris_56735,SRR18585188,SRR18585194
Bacteroides_stercoris_56735,SRR18585188,SRR18585196
Bacteroides_stercoris_56735,SRR18585190,SRR18585193
Bacteroides_stercoris_56735,SRR18585190,SRR18585194
Bacteroides_stercoris_56735,SRR18585190,SRR18585196
Bacteroides_stercoris_56735,SRR18585193,SRR18585194
Bacteroides_stercoris_56735,SRR18585193,SRR18585196
Bacteroides_stercoris_56735,SRR18585194,SRR18585196
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585041
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585053
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585083
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585084
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585085
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585086
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585088
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585089
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585099
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18584992,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585053
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585083
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585084
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585085
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585086
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585088
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585089
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585099
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18585041,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585053,SRR18585083
Bacteroides_thetaiotaomicron_56941,SRR18585053,SRR18585084
Bacteroides_thetaiotaomicron_56941,SRR18585053,SRR18585085
Bacteroides_thetaiotaomicron_56941,SRR18585053,SRR18585086
Bacteroides_thetaiotaomicron_56941,SRR18585053,SRR18585088
Bacteroides_thetaiotaomicron_56941,SRR18585053,SRR18585089
Bacteroides_thetaiotaomicron_56941,SRR18585053,SRR18585099
Bacteroides_thetaiotaomicron_56941,SRR18585053,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18585053,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585057,SRR18585058
Bacteroides_thetaiotaomicron_56941,SRR18585079,SRR18585132
Bacteroides_thetaiotaomicron_56941,SRR18585079,SRR18585136
Bacteroides_thetaiotaomicron_56941,SRR18585079,SRR18585139
Bacteroides_thetaiotaomicron_56941,SRR18585083,SRR18585084
Bacteroides_thetaiotaomicron_56941,SRR18585083,SRR18585085
Bacteroides_thetaiotaomicron_56941,SRR18585083,SRR18585086
Bacteroides_thetaiotaomicron_56941,SRR18585083,SRR18585088
Bacteroides_thetaiotaomicron_56941,SRR18585083,SRR18585089
Bacteroides_thetaiotaomicron_56941,SRR18585083,SRR18585099
Bacteroides_thetaiotaomicron_56941,SRR18585083,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18585083,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585084,SRR18585085
Bacteroides_thetaiotaomicron_56941,SRR18585084,SRR18585086
Bacteroides_thetaiotaomicron_56941,SRR18585084,SRR18585088
Bacteroides_thetaiotaomicron_56941,SRR18585084,SRR18585089
Bacteroides_thetaiotaomicron_56941,SRR18585084,SRR18585099
Bacteroides_thetaiotaomicron_56941,SRR18585084,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18585084,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585085,SRR18585086
Bacteroides_thetaiotaomicron_56941,SRR18585085,SRR18585088
Bacteroides_thetaiotaomicron_56941,SRR18585085,SRR18585089
Bacteroides_thetaiotaomicron_56941,SRR18585085,SRR18585099
Bacteroides_thetaiotaomicron_56941,SRR18585085,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18585085,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585086,SRR18585088
Bacteroides_thetaiotaomicron_56941,SRR18585086,SRR18585089
Bacteroides_thetaiotaomicron_56941,SRR18585086,SRR18585099
Bacteroides_thetaiotaomicron_56941,SRR18585086,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18585086,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585088,SRR18585089
Bacteroides_thetaiotaomicron_56941,SRR18585088,SRR18585099
Bacteroides_thetaiotaomicron_56941,SRR18585088,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18585088,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585089,SRR18585099
Bacteroides_thetaiotaomicron_56941,SRR18585089,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18585089,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585099,SRR18585119
Bacteroides_thetaiotaomicron_56941,SRR18585099,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585119,SRR18585176
Bacteroides_thetaiotaomicron_56941,SRR18585132,SRR18585136
Bacteroides_thetaiotaomicron_56941,SRR18585132,SRR18585139
Bacteroides_thetaiotaomicron_56941,SRR18585136,SRR18585139
Bacteroides_uniformis_57318,SRR18584972,SRR18584974
Bacteroides_uniformis_57318,SRR18584972,SRR18584975
Bacteroides_uniformis_57318,SRR18584972,SRR18585272
Bacteroides_uniformis_57318,SRR18584972,SRR18585273
Bacteroides_uniformis_57318,SRR18584974,SRR18584975
Bacteroides_uniformis_57318,SRR18584974,SRR18585272
Bacteroides_uniformis_57318,SRR18584974,SRR18585273
Bacteroides_uniformis_57318,SRR18584975,SRR18585272
Bacteroides_uniformis_57318,SRR18584975,SRR18585273
Bacteroides_uniformis_57318,SRR18585078,SRR18585079
Bacteroides_uniformis_57318,SRR18585078,SRR18585132
Bacteroides_uniformis_57318,SRR18585078,SRR18585139
Bacteroides_uniformis_57318,SRR18585078,SRR18585140
Bacteroides_uniformis_57318,SRR18585079,SRR18585132
Bacteroides_uniformis_57318,SRR18585079,SRR18585139
Bacteroides_uniformis_57318,SRR18585079,SRR18585140
Bacteroides_uniformis_57318,SRR18585132,SRR18585139
Bacteroides_uniformis_57318,SRR18585132,SRR18585140
Bacteroides_uniformis_57318,SRR18585139,SRR18585140
Bacteroides_uniformis_57318,SRR18585272,SRR18585273
Bacteroides_vulgatus_57955,SRR18584992,SRR18585003
Bacteroides_vulgatus_57955,SRR18584992,SRR18585016
Bacteroides_vulgatus_57955,SRR18584992,SRR18585041
Bacteroides_vulgatus_57955,SRR18584992,SRR18585053
Bacteroides_vulgatus_57955,SRR18584992,SRR18585060
Bacteroides_vulgatus_57955,SRR18584992,SRR18585083
Bacteroides_vulgatus_57955,SRR18584992,SRR18585084
Bacteroides_vulgatus_57955,SRR18584992,SRR18585085
Bacteroides_vulgatus_57955,SRR18584992,SRR18585087
Bacteroides_vulgatus_57955,SRR18584992,SRR18585088
Bacteroides_vulgatus_57955,SRR18584992,SRR18585089
Bacteroides_vulgatus_57955,SRR18584992,SRR18585090
Bacteroides_vulgatus_57955,SRR18584992,SRR18585093
Bacteroides_vulgatus_57955,SRR18584992,SRR18585094
Bacteroides_vulgatus_57955,SRR18584992,SRR18585119
Bacteroides_vulgatus_57955,SRR18584992,SRR18585141
Bacteroides_vulgatus_57955,SRR18584992,SRR18585176
Bacteroides_vulgatus_57955,SRR18584992,SRR18585187
Bacteroides_vulgatus_57955,SRR18584992,SRR18585206
Bacteroides_vulgatus_57955,SRR18584992,SRR18585224
Bacteroides_vulgatus_57955,SRR18584992,SRR18585237
Bacteroides_vulgatus_57955,SRR18584992,SRR18585244
Bacteroides_vulgatus_57955,SRR18585003,SRR18585016
Bacteroides_vulgatus_57955,SRR18585003,SRR18585041
Bacteroides_vulgatus_57955,SRR18585003,SRR18585053
Bacteroides_vulgatus_57955,SRR18585003,SRR18585060
Bacteroides_vulgatus_57955,SRR18585003,SRR18585083
Bacteroides_vulgatus_57955,SRR18585003,SRR18585084
Bacteroides_vulgatus_57955,SRR18585003,SRR18585085
Bacteroides_vulgatus_57955,SRR18585003,SRR18585087
Bacteroides_vulgatus_57955,SRR18585003,SRR18585088
Bacteroides_vulgatus_57955,SRR18585003,SRR18585089
Bacteroides_vulgatus_57955,SRR18585003,SRR18585090
Bacteroides_vulgatus_57955,SRR18585003,SRR18585093
Bacteroides_vulgatus_57955,SRR18585003,SRR18585094
Bacteroides_vulgatus_57955,SRR18585003,SRR18585119
Bacteroides_vulgatus_57955,SRR18585003,SRR18585141
Bacteroides_vulgatus_57955,SRR18585003,SRR18585176
Bacteroides_vulgatus_57955,SRR18585003,SRR18585187
Bacteroides_vulgatus_57955,SRR18585003,SRR18585206
Bacteroides_vulgatus_57955,SRR18585003,SRR18585224
Bacteroides_vulgatus_57955,SRR18585003,SRR18585237
Bacteroides_vulgatus_57955,SRR18585003,SRR18585244
Bacteroides_vulgatus_57955,SRR18585005,SRR18585205
Bacteroides_vulgatus_57955,SRR18585005,SRR18585207
Bacteroides_vulgatus_57955,SRR18585005,SRR18585210
Bacteroides_vulgatus_57955,SRR18585011,SRR18585174
Bacteroides_vulgatus_57955,SRR18585016,SRR18585041
Bacteroides_vulgatus_57955,SRR18585016,SRR18585053
Bacteroides_vulgatus_57955,SRR18585016,SRR18585060
Bacteroides_vulgatus_57955,SRR18585016,SRR18585083
Bacteroides_vulgatus_57955,SRR18585016,SRR18585084
Bacteroides_vulgatus_57955,SRR18585016,SRR18585085
Bacteroides_vulgatus_57955,SRR18585016,SRR18585087
Bacteroides_vulgatus_57955,SRR18585016,SRR18585088
Bacteroides_vulgatus_57955,SRR18585016,SRR18585089
Bacteroides_vulgatus_57955,SRR18585016,SRR18585090
Bacteroides_vulgatus_57955,SRR18585016,SRR18585093
Bacteroides_vulgatus_57955,SRR18585016,SRR18585094
Bacteroides_vulgatus_57955,SRR18585016,SRR18585119
Bacteroides_vulgatus_57955,SRR18585016,SRR18585141
Bacteroides_vulgatus_57955,SRR18585016,SRR18585176
Bacteroides_vulgatus_57955,SRR18585016,SRR18585187
Bacteroides_vulgatus_57955,SRR18585016,SRR18585206
Bacteroides_vulgatus_57955,SRR18585016,SRR18585224
Bacteroides_vulgatus_57955,SRR18585016,SRR18585237
